driverRef,qualifying_position,past_wins,is_winner
bernard,22,0.0,0
schiattarella,26,0.0,0
mansell,3,0.0,0
brabham,25,0.0,0
cesaris,18,0.0,0
comas,23,0.0,0
verstappen,12,0.0,0
noda,24,0.0,0
brundle,15,0.0,0
damon_hill,2,0.0,0
michael_schumacher,1,0.0,0
alesi,7,0.0,0
mansell,4,0.0,0
irvine,6,0.0,0
frentzen,3,0.0,0
hakkinen,8,0.0,0
fittipaldi,18,0.0,0
comas,22,0.0,0
salo,25,0.0,0
panis,19,0.0,0
brabham,24,0.0,0
zanardi,17,0.0,0
blundell,13,0.0,0
barrichello,10,0.0,0
brundle,9,0.0,0
morbidelli,12,0.0,0
berger,11,0.0,0
lagorce,20,0.0,0
martini,16,0.0,0
alboreto,21,0.0,0
herbert,5,0.0,0
katayama,14,0.0,0
inoue,26,0.0,0
lehto,15,0.0,0
noda,23,0.0,0
mansell,1,0.0,0
berger,11,0.0,0
brundle,9,0.0,0
barrichello,5,0.0,0
panis,12,0.0,0
alesi,8,0.0,0
frentzen,10,0.0,0
fittipaldi,19,0.0,0
martini,18,0.0,0
lehto,17,0.0,0
lagorce,20,0.0,0
hakkinen,4,0.0,0
alboreto,16,0.0,0
blundell,13,0.0,0
deletraz,25,0.0,0
salo,22,0.0,0
brabham,24,0.0,0
zanardi,14,0.0,0
damon_hill,3,0.0,0
michael_schumacher,2,0.0,0
schiattarella,26,0.0,0
katayama,15,0.0,0
noda,23,0.0,0
morbidelli,21,0.0,0
irvine,6,0.0,0
herbert,7,0.0,0
michael_schumacher,2,0.0,0
coulthard,3,0.0,0
berger,5,0.0,0
hakkinen,7,0.0,0
alesi,6,0.0,0
blundell,9,0.0,0
salo,12,0.0,0
suzuki,15,0.0,0
montermini,22,0.0,0
diniz,25,0.0,0
morbidelli,13,0.0,0
inoue,21,0.0,0
badoer,18,0.0,0
moreno,23,0.0,0
wendlinger,19,0.0,0
damon_hill,1,0.0,0
herbert,4,0.0,0
gachot,20,0.0,0
barrichello,16,0.0,0
verstappen,24,0.0,0
katayama,11,0.0,0
irvine,8,0.0,0
schiattarella,26,0.0,0
frentzen,14,0.0,0
panis,10,0.0,0
martini,17,0.0,0
damon_hill,2,0.0,0
alesi,6,0.0,0
michael_schumacher,3,0.0,0
herbert,11,0.0,0
frentzen,9,0.0,0
berger,8,0.0,0
panis,18,0.0,0
katayama,15,0.0,0
schiattarella,20,0.0,0
diniz,25,0.0,0
moreno,24,0.0,0
salo,7,0.0,0
suzuki,19,0.0,0
martini,16,0.0,0
morbidelli,12,0.0,0
inoue,26,0.0,0
barrichello,10,0.0,0
verstappen,14,0.0,0
coulthard,1,0.0,0
blundell,17,0.0,0
irvine,4,0.0,0
montermini,22,0.0,0
hakkinen,5,0.0,0
gachot,23,0.0,0
wendlinger,21,0.0,0
badoer,13,0.0,0
damon_hill,4,0.0,0
alesi,5,0.0,0
berger,2,0.0,0
coulthard,3,0.0,0
hakkinen,6,0.0,0
frentzen,14,0.0,0
herbert,8,0.0,0
irvine,7,0.0,0
panis,12,0.0,0
mansell,9,0.0,0
suzuki,16,0.0,0
martini,18,0.0,0
morbidelli,11,0.0,0
badoer,20,0.0,0
diniz,26,0.0,0
moreno,25,0.0,0
wendlinger,21,0.0,0
gachot,22,0.0,0
schiattarella,23,0.0,0
barrichello,10,0.0,0
katayama,15,0.0,0
salo,13,0.0,0
montermini,24,0.0,0
verstappen,17,0.0,0
inoue,19,0.0,0
michael_schumacher,1,0.0,0
michael_schumacher,1,0.0,0
herbert,7,0.0,0
berger,3,0.0,0
damon_hill,5,0.0,0
irvine,6,0.0,0
panis,15,0.0,0
barrichello,8,0.0,0
frentzen,12,0.0,0
brundle,11,0.0,0
salo,13,0.0,0
morbidelli,14,0.0,0
verstappen,16,0.0,0
wendlinger,20,0.0,0
martini,19,0.0,0
schiattarella,22,0.0,0
katayama,17,0.0,0
coulthard,4,0.0,0
hakkinen,9,0.0,0
inoue,18,0.0,0
gachot,24,0.0,0
moreno,25,0.0,0
alesi,2,0.0,0
badoer,21,0.0,0
mansell,10,0.0,0
diniz,26,0.0,0
montermini,23,0.0,0
michael_schumacher,2,0.0,0
damon_hill,1,0.0,0
berger,4,0.0,0
herbert,7,0.0,0
blundell,10,0.0,0
frentzen,14,0.0,0
martini,18,0.0,0
boullion,19,0.0,0
morbidelli,13,0.0,0
diniz,22,0.0,0
badoer,16,0.0,0
panis,12,0.0,0
salo,17,0.0,0
barrichello,11,0.0,0
gachot,21,0.0,0
alesi,5,0.0,0
brundle,8,0.0,0
inoue,26,0.0,0
katayama,15,0.0,0
montermini,25,0.0,0
irvine,9,0.0,0
coulthard,3,0.0,0
moreno,24,0.0,0
hakkinen,6,0.0,0
verstappen,23,0.0,0
schiattarella,20,0.0,0
alesi,5,0.0,0
barrichello,9,0.0,0
irvine,8,0.0,0
panis,11,0.0,0
michael_schumacher,1,0.0,0
morbidelli,13,0.0,0
salo,15,0.0,0
badoer,19,0.0,0
inoue,22,0.0,0
brundle,14,0.0,0
berger,4,0.0,0
martini,17,0.0,0
moreno,23,0.0,0
damon_hill,2,0.0,0
blundell,10,0.0,0
katayama,16,0.0,0
gachot,20,0.0,0
frentzen,12,0.0,0
diniz,24,0.0,0
boullion,18,0.0,0
montermini,21,0.0,0
coulthard,3,0.0,0
herbert,6,0.0,0
hakkinen,7,0.0,0
michael_schumacher,2,0.0,0
damon_hill,1,0.0,0
coulthard,3,0.0,0
brundle,9,0.0,0
alesi,4,0.0,0
barrichello,5,0.0,0
hakkinen,8,0.0,0
panis,6,0.0,0
irvine,11,0.0,0
frentzen,12,0.0,0
blundell,13,0.0,0
berger,7,0.0,0
badoer,17,0.0,0
morbidelli,16,0.0,0
salo,14,0.0,0
moreno,24,0.0,0
montermini,21,0.0,0
boullion,15,0.0,0
gachot,22,0.0,0
martini,20,0.0,0
herbert,10,0.0,0
inoue,18,0.0,0
katayama,19,0.0,0
diniz,23,0.0,0
herbert,5,0.0,0
alesi,6,0.0,0
coulthard,3,0.0,0
panis,13,0.0,0
blundell,10,0.0,0
frentzen,12,0.0,0
martini,15,0.0,0
salo,23,0.0,0
boullion,16,0.0,0
badoer,18,0.0,0
barrichello,9,0.0,0
gachot,21,0.0,0
moreno,22,0.0,0
michael_schumacher,2,0.0,0
damon_hill,1,0.0,0
papis,17,0.0,0
katayama,14,0.0,0
montermini,24,0.0,0
hakkinen,8,0.0,0
berger,4,0.0,0
brundle,11,0.0,0
inoue,19,0.0,0
diniz,20,0.0,0
irvine,7,0.0,0
michael_schumacher,2,0.0,0
coulthard,3,0.0,0
berger,4,0.0,0
herbert,9,0.0,0
boullion,14,0.0,0
suzuki,18,0.0,0
katayama,17,0.0,0
montermini,23,0.0,0
irvine,6,0.0,0
hakkinen,7,0.0,0
frentzen,11,0.0,0
badoer,16,0.0,0
lavaggi,24,0.0,0
moreno,22,0.0,0
barrichello,5,0.0,0
blundell,8,0.0,0
panis,12,0.0,0
alesi,10,0.0,0
martini,20,0.0,0
inoue,19,0.0,0
diniz,21,0.0,0
damon_hill,1,0.0,0
salo,13,0.0,0
papis,15,0.0,0
damon_hill,1,0.0,0
coulthard,2,0.0,0
berger,4,0.0,0
herbert,9,0.0,0
frentzen,11,0.0,0
panis,10,0.0,0
barrichello,14,0.0,0
badoer,12,0.0,0
lamy,15,0.0,0
boullion,19,0.0,0
michael_schumacher,3,0.0,0
montermini,22,0.0,0
irvine,7,0.0,0
brundle,8,0.0,0
salo,16,0.0,0
blundell,13,0.0,0
katayama,17,0.0,0
papis,20,0.0,0
alesi,6,0.0,0
diniz,23,0.0,0
inoue,18,0.0,0
moreno,21,0.0,0
lavaggi,24,0.0,0
hakkinen,5,0.0,0
michael_schumacher,16,0.0,0
damon_hill,8,0.0,0
brundle,13,0.0,0
frentzen,10,0.0,0
blundell,6,0.0,0
barrichello,12,0.0,0
herbert,4,0.0,0
salo,11,0.0,0
panis,9,0.0,0
lamy,17,0.0,0
boullion,14,0.0,0
inoue,18,0.0,0
diniz,24,0.0,0
moreno,22,0.0,0
katayama,15,0.0,0
lavaggi,23,0.0,0
badoer,19,0.0,0
berger,1,0.0,0
irvine,7,0.0,0
papis,20,0.0,0
montermini,21,0.0,0
coulthard,5,0.0,0
alesi,2,0.0,0
hakkinen,3,0.0,0
herbert,8,0.0,0
hakkinen,7,0.0,0
frentzen,10,0.0,0
blundell,9,0.0,0
salo,16,0.0,0
boullion,14,0.0,0
papis,15,0.0,0
inoue,20,0.0,0
diniz,23,0.0,0
katayama,17,0.0,0
alesi,5,0.0,0
barrichello,6,0.0,0
irvine,12,0.0,0
berger,3,0.0,0
badoer,18,0.0,0
michael_schumacher,2,0.0,0
damon_hill,4,0.0,0
panis,13,0.0,0
coulthard,1,0.0,0
brundle,11,0.0,0
lavaggi,24,0.0,0
lamy,19,0.0,0
montermini,21,0.0,0
moreno,22,0.0,0
coulthard,1,0.0,0
michael_schumacher,3,0.0,0
damon_hill,2,0.0,0
berger,4,0.0,0
alesi,7,0.0,0
frentzen,5,0.0,0
herbert,6,0.0,0
brundle,9,0.0,0
blundell,12,0.0,0
irvine,10,0.0,0
barrichello,8,0.0,0
boullion,14,0.0,0
salo,15,0.0,0
badoer,18,0.0,0
inoue,19,0.0,0
diniz,22,0.0,0
moreno,23,0.0,0
montermini,21,0.0,0
hakkinen,13,0.0,0
deletraz,24,0.0,0
panis,11,0.0,0
lamy,17,0.0,0
katayama,16,0.0,0
papis,20,0.0,0
michael_schumacher,3,0.0,0
alesi,6,0.0,0
coulthard,1,0.0,0
barrichello,11,0.0,0
herbert,7,0.0,0
irvine,5,0.0,0
brundle,12,0.0,0
hakkinen,9,0.0,0
lamy,16,0.0,0
salo,15,0.0,0
badoer,18,0.0,0
papis,17,0.0,0
diniz,22,0.0,0
tarquini,19,0.0,0
deletraz,24,0.0,0
damon_hill,2,0.0,0
montermini,20,0.0,0
boullion,13,0.0,0
berger,4,0.0,0
moreno,23,0.0,0
frentzen,8,0.0,0
panis,14,0.0,0
blundell,10,0.0,0
inoue,21,0.0,0
michael_schumacher,3,0.0,0
coulthard,1,0.0,0
damon_hill,2,0.0,0
berger,5,0.0,0
alesi,4,0.0,0
herbert,7,0.0,0
frentzen,8,0.0,0
panis,9,0.0,0
blundell,10,0.0,0
magnussen,12,0.0,0
irvine,6,0.0,0
salo,18,0.0,0
lamy,14,0.0,0
katayama,17,0.0,0
badoer,16,0.0,0
moreno,22,0.0,0
diniz,21,0.0,0
barrichello,11,0.0,0
morbidelli,19,0.0,0
inoue,20,0.0,0
montermini,23,0.0,0
suzuki,13,0.0,0
boullion,15,0.0,0
gachot,24,0.0,0
michael_schumacher,1,0.0,0
hakkinen,3,0.0,0
herbert,9,0.0,0
irvine,7,0.0,0
panis,11,0.0,0
salo,12,0.0,0
blundell,24,0.0,0
frentzen,8,0.0,0
badoer,18,0.0,0
wendlinger,16,0.0,0
lamy,17,0.0,0
inoue,19,0.0,0
damon_hill,4,0.0,0
coulthard,6,0.0,0
diniz,21,0.0,0
alesi,2,0.0,0
montermini,20,0.0,0
berger,5,0.0,0
barrichello,10,0.0,0
katayama,14,0.0,0
gachot,23,0.0,0
moreno,22,0.0,0
morbidelli,15,0.0,0
suzuki,13,0.0,0
damon_hill,1,0.0,0
panis,12,0.0,0
morbidelli,13,0.0,0
blundell,10,0.0,0
salo,14,0.0,0
lamy,17,0.0,0
diniz,21,0.0,0
gachot,23,0.0,0
katayama,16,0.0,0
herbert,8,0.0,0
